test_id,Demand,Order Quantity,Inventory,Holdingcost,Orderingcost
65,78,0,56,2361,1624
65,4,0,52,2361,1624
65,32,0,20,2361,1624
65,20,0,0,2361,1624
65,52,166,114,2361,1624
65,5,0,109,2361,1624
65,29,0,80,2361,1624
65,80,0,0,2361,1624
66,100,100,0,2330,3978
66,97,97,0,2330,3978
66,0,0,0,2330,3978
66,19,19,0,2330,3978
66,82,137,55,2330,3978
66,55,0,0,2330,3978
66,73,160,87,2330,3978
66,87,0,0,2330,3978
66,71,162,91,2330,3978
66,91,0,0,2330,3978
67,64,64,0,363,834
67,55,55,0,363,834
67,74,74,0,363,834
67,76,76,0,363,834
67,81,86,5,363,834
67,5,0,0,363,834
67,35,109,74,363,834
67,44,0,30,363,834
67,18,0,12,363,834
67,12,0,0,363,834
68,43,66,23,1350,1385
68,19,0,4,1350,1385
68,4,0,0,1350,1385
68,55,55,0,1350,1385
68,96,99,3,1350,1385
68,3,0,0,1350,1385
68,20,98,78,1350,1385
68,51,0,27,1350,1385
68,27,0,0,1350,1385
68,54,54,0,1350,1385
69,34,171,137,1250,2550
69,86,0,51,1250,2550
69,51,0,0,1250,2550
69,84,176,92,1250,2550
69,4,0,88,1250,2550
69,21,0,67,1250,2550
69,67,0,0,1250,2550
69,89,228,139,1250,2550
69,88,0,51,1250,2550
69,51,0,0,1250,2550
70,41,100,59,988,804
70,59,0,0,988,804
70,88,179,91,988,804
70,91,0,0,988,804
70,72,207,135,988,804
70,92,0,43,988,804
70,43,0,0,988,804
70,96,193,97,988,804
70,28,0,69,988,804
70,69,0,0,988,804
71,24,148,124,722,651
71,84,0,40,722,651
71,40,0,0,722,651
71,56,171,115,722,651
71,74,0,41,722,651
71,21,0,20,722,651
71,10,0,10,722,651
71,10,0,0,722,651
71,32,43,11,722,651
71,11,0,0,722,651
72,6,19,13,1043,2780
72,13,0,0,1043,2780
72,44,96,52,1043,2780
72,52,0,0,1043,2780
72,85,87,2,1043,2780
72,2,0,0,1043,2780
72,66,121,55,1043,2780
72,55,0,0,1043,2780
72,78,105,27,1043,2780
72,27,0,0,1043,2780
73,20,107,87,1593,2180
73,87,0,0,1593,2180
73,93,214,121,1593,2180
73,68,0,53,1593,2180
73,53,0,0,1593,2180
73,82,240,158,1593,2180
73,65,0,93,1593,2180
73,93,0,0,1593,2180
73,97,116,19,1593,2180
73,19,0,0,1593,2180
74,89,163,74,333,741
74,69,0,5,333,741
74,5,0,0,333,741
74,60,174,114,333,741
74,24,0,90,333,741
74,54,0,36,333,741
74,27,0,9,333,741
74,4,0,5,333,741
74,5,0,0,333,741
74,49,49,0,333,741
75,16,150,134,646,813
75,37,0,97,646,813
75,55,0,42,646,813
75,29,0,13,646,813
75,13,0,0,646,813
75,74,258,184,646,813
75,89,0,95,646,813
75,95,0,0,646,813
75,97,178,81,646,813
75,81,0,0,646,813
76,35,169,134,1371,1548
76,95,0,39,1371,1548
76,39,0,0,1371,1548
76,58,61,3,1371,1548
76,3,0,0,1371,1548
76,95,260,165,1371,1548
76,78,0,87,1371,1548
76,68,0,19,1371,1548
76,9,0,10,1371,1548
76,10,0,0,1371,1548
77,16,55,39,1280,1880
77,26,0,13,1280,1880
77,13,0,0,1280,1880
77,100,133,33,1280,1880
77,33,0,0,1280,1880
77,78,115,37,1280,1880
77,37,0,0,1280,1880
77,96,102,6,1280,1880
77,6,0,0,1280,1880
77,54,54,0,1280,1880
78,18,91,73,1056,1587
